Date,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AVV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PSH.L,PSN.L,PSON.L,PURG.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2020-12-17,3086812,1566053,568271,980204,1140932,1816235,10302000,,3027139,10404344,39062373.0,3395354,,1939967,262391,6161067.0,838427,46308612.0,1492491,22499815,642124,23010526,3502604,277826.0,1507946,7079832.0,360586,2330658.0,624426,634,1965246,1102895,2095072,518674,376173,1432330,68796526.0,7948739,310532,552153,,32141188,66542030.0,,333259,996178,2923164.0,2418878,286542,9030295,14973451,1799437,13499681,177087736,431686,1472857,6737405,6876611,9576867,21170760,577574,1468634,205354,890092,2366570,,3385301,2239571.0,869555,2651440,43667315.0,3207215,5072191,1275817,2774229,2778123,17983815,319311,,860819,4424345,1155361.0,107038,3055652,7231314,587985,15560570,21056996,4082860,1133669,2056890,76854673,1021659,4673634.0,803158
2020-12-18,4723274,4175282,854435,1429326,2432211,3831148,21194599,,5737295,15342808,61091622.0,7514074,,2375935,527055,4441322.0,1310035,89654141.0,1385818,36898601,1798722,41686108,3901679,644047.0,5162112,6368602.0,357741,4742720.0,911831,332,2047725,2733175,4174155,788381,333922,1859158,69774532.0,13322332,1080422,1425157,,54415953,22500118.0,,604703,3522402,3376574.0,3796691,380638,12525450,10608942,4710261,25165374,332540166,1201073,8012902,8149071,8708631,17514195,27520612,583194,1857780,4353680,1196564,2794445,,4894026,4117805.0,1540274,5062790,90483435.0,5187260,9989953,2730164,5839855,5483513,14133653,465803,,1342894,4251213,2986546.0,357005,3655094,10230766,1222030,24633932,19822658,7811754,1639390,2984337,79024831,1282674,5389510.0,1264080
2020-12-21,2772944,2317726,684585,868095,1296206,2865572,11387952,,2379055,8255222,62377629.0,4890370,,1194697,319319,2868199.0,774350,74037177.0,3184996,40829620,944657,27154745,3120967,1787285.0,1079488,2933914.0,209966,3294405.0,225730,0,1408770,1207608,11838193,639935,775626,1953436,30196980.0,10263281,387195,429862,,24216708,97647617.0,,526641,915572,1871021.0,3335292,217607,8126825,6630425,2923495,19341221,343560165,324129,3080542,5383828,4943684,6498585,20772881,245888,2601307,589872,749350,2007994,,2205437,3066106.0,1047197,1385734,153227199.0,2208156,6558824,1160776,2068860,1792751,10429999,338313,,752080,4346586,2338963.0,136961,2242826,8847320,359715,17665749,13094225,5697495,750042,1340838,121867125,1289220,3534237.0,814866
2020-12-22,1395206,657395,2095225,972903,770939,1773364,5498496,,2518823,7799450,59502325.0,3957371,,851981,212389,2648130.0,1161335,34301381.0,2367290,30556009,379387,13286247,1924772,642614.0,1126491,1916489.0,156715,3047143.0,150904,0,829642,741376,4534370,242150,370271,1459952,17091905.0,7202826,422818,458270,,25735980,32934593.0,,315148,820079,1385216.0,1847935,288223,17865160,3888626,1523698,9692197,178730216,175120,1859797,3339309,2485440,8477970,17100201,120761,1089444,130552,887104,2508052,,3117755,1632430.0,515756,1925960,37373568.0,1404678,6050196,922276,3657024,1273511,5656490,163008,,1455026,3357920,1798756.0,190495,1900263,4032287,273249,13102123,8850033,3586360,567536,3731293,101943691,1591511,1798600.0,605269
2020-12-23,1565669,1788528,332920,919501,958364,2024623,12320143,,1588406,4956977,82164262.0,3461935,,990953,542537,2293046.0,875540,40242580.0,1613227,19231256,452865,21934614,1651082,247836.0,673355,2257368.0,129889,1531942.0,167712,0,1002585,720327,3991660,339523,206844,947911,16276592.0,5419513,192321,360459,,16310120,48225528.0,,305923,1009123,1934046.0,2087867,315156,6010635,3403301,1419099,16667858,403869991,162969,712304,3752266,2624162,3954459,21247959,278651,1432517,168534,698085,1048737,,1292892,1187030.0,706669,1248696,36332635.0,1551052,5576834,1046211,1117094,2459630,3603725,200787,,436192,2263202,978882.0,55606,2006202,4421851,215636,14684909,13395097,2070396,398985,818245,39000946,590144,1311316.0,449988
2020-12-24,730381,411219,141111,139778,163541,482471,2833106,,744212,1507915,32838786.0,1052391,,297177,214624,282292.0,151630,13991203.0,304455,7797172,245447,7477755,1040930,224761.0,322027,825803.0,35521,1052703.0,20792,0,712226,404354,2173707,229097,129444,161882,5302885.0,2612450,66416,147732,,6514211,21967484.0,,88348,305091,400907.0,758588,39984,2559870,1641958,454691,12551184,269729556,154079,187351,2866102,1233243,1468969,11189444,248895,243876,44924,603926,237766,,600694,307322.0,220453,635438,21508186.0,415006,1519125,249447,612064,555348,1476348,90310,,94822,1182385,477274.0,13168,651886,2929102,96322,7863935,10230625,574090,90633,418649,16668500,1606362,675399.0,202853
2020-12-29,2086421,1516693,640666,488407,830836,2111874,7133500,,2984828,4590290,54336596.0,2553543,,1315418,552811,1749715.0,568964,35554834.0,884504,16292727,742814,30696258,2712361,294896.0,577502,3487630.0,146045,2373964.0,178661,3197,1289200,2999936,3752645,651550,270002,1112168,19808846.0,7180555,394061,846330,,17523285,39474335.0,,350202,820939,2328480.0,2709936,334015,5361055,7123415,1751229,16522883,326575929,348476,1140214,4793484,3834159,4850512,16855647,378624,1367929,290692,830385,1646924,,2379322,2117135.0,815106,1780895,49485693.0,2784840,9475469,1100764,1899340,1895524,3679949,243020,,486423,2836997,1460158.0,136126,2828599,5091919,605727,13185856,14522184,2743456,427417,1639576,42488842,854843,2332521.0,641389
2020-12-30,1282024,608307,201086,688925,639973,1501893,3650587,,2290546,3913273,22973899.0,2478777,,606467,265557,1485056.0,330196,20800281.0,339932,10150000,441688,11609260,1539794,158946.0,592142,1619872.0,103510,1527044.0,127245,0,731372,765101,2031797,258739,168974,745622,11502510.0,4775894,149674,407975,,13055106,24547700.0,,186788,698443,1083011.0,1505006,197526,2926880,3188054,695689,13043369,142842833,291711,676895,3772744,3339428,3134734,10016256,250814,661694,182306,314477,922617,,1156290,1053038.0,582709,1098110,21556313.0,1395947,4265758,1220311,1212068,1326217,2387870,204951,,312254,2173909,853861.0,42154,1415435,2901214,332325,6029009,7209569,2653972,232382,792918,24375751,410037,2059792.0,453505
2020-12-31,1134042,355080,181620,373295,335751,813310,2755328,,1135354,2550910,16230212.0,1433401,,254785,158892,683000.0,297440,19037935.0,239771,10971461,293941,10306639,982775,159236.0,493267,1888853.0,122017,1643596.0,77402,0,695781,533432,1049957,147522,97530,230140,10314658.0,3742666,89864,280253,,10439621,16274185.0,,130923,731127,1235537.0,1322830,146018,2338460,3244870,643434,4542813,104467778,168929,364491,2197292,1249135,2555825,6783322,246585,409394,153459,322869,680915,,1005484,789313.0,284706,837413,15415469.0,1119690,2618064,742494,809802,821362,2696410,91153,,299662,1156455,604658.0,42086,1122733,2103913,230871,5603883,5615195,2227468,140008,686248,18463627,298236,1009913.0,237101
2021-01-04,2856679,1283114,947406,1146554,1280643,2253107,8008936,,4373741,6092231,45934459.0,4649428,,1211832,630388,2440370.0,625230,68541911.0,1133328,19797369,507999,39988047,2922044,365517.0,924859,11743698.0,235660,3189344.0,155603,1053,12424488,4449755,5751894,398193,317313,2182098,47774095.0,7177382,375694,884641,,29343345,61675292.0,,1097610,790358,1181509.0,3593964,290140,8059605,6758658,2643967,14714407,396174544,922812,1013511,4114723,5438469,4506111,24018499,351059,1717709,360127,933973,1471091,,2736512,2208663.0,950682,2197454,79652536.0,3872737,10524430,1037335,2889420,2419823,6288131,296201,,406209,4001651,2117816.0,156268,4753960,4297015,373011,15565005,17228095,6503050,556982,1260036,65629549,814046,2942334.0,709808
