Date,XMR-USD,SOL-USD,LINK-USD,XRP-USD,LTC-USD,BNB-USD,DOGE-USD,XLM-USD,ETH-USD,BTC-USD
2019-09-08,77.3759536743164,,1.8309639692306519,0.2630839943885803,70.54936981201172,22.561689376831055,0.002500999951735139,0.060881998389959335,181.35552978515625,10441.2763671875
2019-09-09,75.14642333984375,,1.7968930006027222,0.2595619857311249,70.1922378540039,22.287389755249023,0.0024610001128166914,0.059845998883247375,181.1494598388672,10334.974609375
2019-09-10,72.22940826416016,,1.8021299839019775,0.25867098569869995,70.82339477539062,21.911144256591797,0.0024369999300688505,0.05837300047278404,179.78717041015625,10115.9755859375
2019-09-11,74.3614273071289,,1.7348270416259766,0.2559559941291809,69.9221420288086,20.899320602416992,0.0023990001063793898,0.059783998876810074,178.72549438476562,10178.3720703125
2019-09-12,75.12957000732422,,1.7076389789581299,0.25481098890304565,69.2250747680664,20.922277450561523,0.0024250000715255737,0.058469001203775406,181.01609802246094,10410.126953125
2019-09-13,76.91072845458984,,1.5809329748153687,0.2555510103702545,68.98861694335938,20.887466430664062,0.002426000079140067,0.056940000504255295,181.10972595214844,10360.546875
2019-09-14,76.03797912597656,,1.5651049613952637,0.2611669898033142,70.56230163574219,21.071584701538086,0.002440999960526824,0.057739999145269394,188.1055145263672,10358.048828125
2019-09-15,75.6910629272461,,1.6175249814987183,0.26162800192832947,70.31517791748047,20.598939895629883,0.002460000105202198,0.05812299996614456,189.78912353515625,10347.712890625
2019-09-16,75.34508514404297,,1.581434965133667,0.2609519958496094,72.57311248779297,20.39851188659668,0.002455000067129731,0.05862100049853325,197.11317443847656,10276.7939453125
2019-09-17,74.28340911865234,,1.629438042640686,0.28501299023628235,74.22122955322266,21.005367279052734,0.0026080000679939985,0.06374499946832657,208.60874938964844,10241.2724609375
2019-09-18,81.76528930664062,,1.8098210096359253,0.3137759864330292,77.96913146972656,22.255443572998047,0.002718999981880188,0.0831179991364479,211.39303588867188,10198.248046875
